Event ID,Event Name,Event Size,Campus,Number of Weeks,Weeks,Week List,Room,Building,Timeslot,Duration (minutes),Assigned_RoomID,Assigned_Room_Number,Assigned_Campus,Assigned_Building,Assigned_Capacity,Assigned_Room_Type,Campus_Changed,Capacity_Utilization,Overcapacity
E:SZSFHDRML4,MA Documentary Film Development - Tutorial/01,5.0,Holyrood,4,"12, 14, 16, 18","[12, 14, 16, 18]",0591_-1_B1.10,Outreach Centre,Tuesday 10:00,420,0113_01M_01M.27,01M.27,Central,"Medical School, Teviot",12,Boardroom Style,True,41.67,False
E:OWLP28G7TC,Modern Persian Literature and 'Modern' Iran (PG Version) - Seminar,10.0,Central,2,"12, 16","[12, 16]",0254_01_1.07,24 Buccleuch Place,Friday 16:00,110,0113_01_1.42,1.42,Central,"Medical School, Teviot",20,Classroom Style,False,50.0,False
E:4318TE5CLW,Access Humanities 1/02,20.0,Holyrood,3,"12, 16, 18","[12, 16, 18]",0551_00_G42,Patersons Land,Tuesday 14:00,140,0558_05_5.3,5.3,Holyrood,Charteris Land,25,Classroom Style,False,80.0,False
E:8N6JSQAJ6Y,AMPL - Essay Tutorials - Group/02,14.0,Central,2,"12, 18","[12, 18]",0008_-1_B.153,Minto House,Monday 09:00,480,0214_00_G.22,G.22,Central,16-20 George Square,18,Classroom Style,False,77.78,False
E:DU5T7OB2IR,AMPL - Essay Tutorials - Group/03,14.0,Central,2,"12, 18","[12, 18]",0008_00_G.252,Minto House,Monday 09:00,480,0283_03_3.10,3.10,Central,Dugald Stewart Building,56,Classroom Style,False,25.0,False
E:WEAWRZALNT,AMPL - Essay Tutorials - Group/01,14.0,Central,2,"12, 18","[12, 18]",0008_-1_B.152,Minto House,Monday 09:00,480,0219_00_G.02,G.02,Central,21 George Square,24,Classroom Style,False,58.33,False
E:P87HQR7RUY,Planning Law and Land Use LAWS10249 - Seminar,30.0,Central,3,"13, 14, 18","[13, 14, 18]",0311_02_2.05,Geography (Old Infirmary),Tuesday 14:00,110,0450_01_1.63,1.63,Central,Edinburgh Futures Institute (EFI),8,Specialist Room,False,375.0,True
E:PAQ6BI9IRF,TPG Studio - One-to-One Tutorial/02,12.0,Lauriston,3,"13, 15, 18","[13, 15, 18]",0424_05_5.21,Evolution House,Monday 13:00,260,0450_01_1.62,1.62,Central,Edinburgh Futures Institute (EFI),12,Specialist Room,True,100.0,False
E:YVAI1QKZP1,TPG Studio - One-to-One Tutorial/01,12.0,Lauriston,3,"13, 15, 18","[13, 15, 18]",0422_L_L.06,North-East Studio Building,Monday 10:00,150,0201_01_1.08,1.08,Central,Appleton Tower,307,Lecture Theatre,True,3.91,False
E:HB83K5VXDB,Historical Research: Skills and Sources Pathway - Seminar/13,20.0,Central,4,"14, 15, 16, 17","[14, 15, 16, 17]",0228_09_9.18,40 George Square,Friday 14:00,110,0214_01_1.10,1.10,Central,16-20 George Square,18,Classroom Style,False,111.11,True
E:JO9AGHWKA5,ELE - Writing your PhD: Reviewing the Literature Group 1,14.0,Holyrood,5,"14, 15, 16, 17, 18","[14, 15, 16, 17, 18]",0551_-1M_M16,Patersons Land,Thursday 14:00,110,0450_03_3.32,3.32,Central,Edinburgh Futures Institute (EFI),12,Specialist Room,True,116.67,True
E:6457QMO7PA,Introduction to the MBA Capstone - Workshop,60.0,Central,6,"14, 15, 16, 17, 18, 19","[14, 15, 16, 17, 18, 19]",0450_02_2.35,Edinburgh Futures Institute (EFI),Thursday 13:30,200,0008_02_2.365,2.365,Central,Minto House,16,Boardroom Style,False,375.0,True
E:OK1U9EW8JB,COL - Introduction to Illustration,8.0,Holyrood,6,"14, 15, 16, 17, 18, 19","[14, 15, 16, 17, 18, 19]",0551_00_G30,Patersons Land,Wednesday 18:30,180,0228_13_13.07,13.07,Central,40 George Square,15,Boardroom Style,True,53.33,False
E:LYKYMJUKBB,ELE - Writing your PhD: Qualitative Research Group 1,14.0,Holyrood,7,"14, 15, 16, 17, 18, 19, 20","[14, 15, 16, 17, 18, 19, 20]",0551_-1M_M16,Patersons Land,Thursday 09:00,110,0450_03_3.62,3.62,Central,Edinburgh Futures Institute (EFI),12,Specialist Room,True,116.67,True
E:KQUAAVHAFM,General Neuroscience - Journal Club/08,10.0,Central,3,"14, 15, 18","[14, 15, 18]",0227_03_3.13,50 George Square,Wednesday 11:00,110,0551_00_G30,G30,Holyrood,Patersons Land,10,Classroom Style,True,100.0,False
E:OAWCET3NYN,General Neuroscience - Journal Club/06,10.0,Central,3,"14, 15, 18","[14, 15, 18]",0227_02_2.30,50 George Square,Wednesday 11:00,110,0001_01_1.264,1.264,Central,Old College,150,Lecture Theatre,False,6.67,False
E:D8L5DKVIB9,General Neuroscience - Journal Club/05,10.0,Central,3,"14, 15, 18","[14, 15, 18]",0113_00_G.204,"Medical School, Teviot",Wednesday 11:00,110,0113_00_G.152,G.152,Central,"Medical School, Teviot",200,Lecture Theatre,False,5.0,False
E:PF3PXBPVKP,IFP - FEAP Plus D,16.0,Holyrood,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19","[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0551_-1_LG49,Patersons Land,Wednesday 09:00,100,0300_00_NG.01,NG.01,Central,High School Yards Teaching Centre,36,Classroom Style,True,44.44,False
