Event ID,Event Name,Event Size,Campus,Number of Weeks,Weeks,Week List,Room,Building,Timeslot,Duration (minutes),Assigned_RoomID,Assigned_Room_Number,Assigned_Campus,Assigned_Building,Assigned_Capacity,Assigned_Room_Type,Campus_Changed,Capacity_Utilization,Overcapacity
E:96XCWW2M9V,Accountancy 1A - Tutorial/02,18.0,Central,9,"10, 11, 12, 13, 15, 16, 17, 18, 19","[10, 11, 12, 13, 15, 16, 17, 18, 19]",0335_01_1.9,Lister Learning and Teaching Centre,Tuesday 11:00,50,0103_01_1.B19,1.B19,Central,Forresthill,20,Boardroom Style,False,90.0,False
E:XT1KZOCGA6,Planning for a start-up - Tutorial/01,25.0,Central,2,"15, 19","[15, 19]",0228_-1_LG.10,40 George Square Lower Teaching Hub,Wednesday 10:00,110,0450_03_3.42,3.42,Central,Edinburgh Futures Institute (EFI),8,Specialist Room,False,312.5,True
E:NB1S2PULQP,Psychological Well-being and Business - Tutorial/01,20.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0201_00_G.05,Appleton Tower,Monday 09:00,110,0335_00_G.12,G.12,Central,Lister Learning and Teaching Centre,17,Boardroom Style,False,117.65,True
E:QGLQZOQGIF,Marketing - Tutorial/07,14.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0113_00_G.205,"Medical School, Teviot",Tuesday 15:00,50,0001_01_1.264,1.264,Central,Old College,150,Lecture Theatre,False,9.33,False
E:Y2SNRCC5RT,"Mergers, Acquisitions, and Corporate Restructuring - Lecture",120.0,Central,2,"9, 17","[9, 17]",LectureTheatre_ChambersStreetMuseum,Hired Space - Contingency,Monday 11:00,110,0228_09_9.18,9.18,Central,40 George Square,25,Classroom Style,False,480.0,True
E:BL11YDBTOH,Introduction to Corporate Finance - Q&A Session,180.0,Central,2,"12, 19","[12, 19]",0227_00_G.03,50 George Square,Tuesday 15:00,50,0335_01_1.1,1.1,Central,Lister Learning and Teaching Centre,25,Classroom Style,False,720.0,True
E:SY5JC9VI2Z,Business Economics - Tutorial/05,16.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0252_01_1.2,22 Buccleuch Place,Monday 16:00,50,0254_01_1.06,1.06,Central,24 Buccleuch Place,12,Boardroom Style,False,133.33,True
E:NABDT4QRFR,Accounting for Business 1 - Tutorial/08,16.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0252_01_1.2,22 Buccleuch Place,Wednesday 09:00,50,0551_-1_LG46,LG46,Holyrood,Patersons Land,16,Boardroom Style,True,100.0,False
E:FZAVNXQKS8,Business and Sustainability - Seminar/03,30.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0226_01_1.07,Business School,Friday 09:00,110,0422_L_L.06,L.06,Lauriston,North-East Studio Building,16,Boardroom Style,True,187.5,True
E:4BQTRUC7RH,Accountancy 2A - Tutorial/07,13.0,Holyrood,9,"10, 11, 12, 13, 15, 16, 17, 18, 19","[10, 11, 12, 13, 15, 16, 17, 18, 19]",0551_-1_LG45,Patersons Land,Tuesday 14:00,50,0113_01M_01M.19,01M.19,Central,"Medical School, Teviot",14,Classroom Style,True,92.86,False
E:C6DG51GCBN,Accounting for Business 1 - Tutorial/06,16.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0201_00_G.05,Appleton Tower,Tuesday 15:00,50,0113_00_G.13,G.13,Central,"Medical School, Teviot",26,Boardroom Style,False,61.54,False
E:HG8QHQ8GZV,Futures and Options - Lecture,65.0,Central,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19","[9, 10, 11, 12, 13, 15, 16, 17, 18, 19]",0226_-1_LG.14,Business School,Thursday 10:00,120,0335_02_2.3,2.3,Central,Lister Learning and Teaching Centre,40,Classroom Style,False,162.5,True
E:VI5X3CA9JQ,Marketing Research & Data Insights - Seminar/02,43.0,Central,4,"10, 11, 12, 13","[10, 11, 12, 13]",0226_-1_LG.19,Business School,Tuesday 15:00,50,0551_-1_LG23,LG23,Holyrood,Patersons Land,10,Boardroom Style,True,430.0,True
E:81A6HRQKBX,Accountancy 2A - Lecture,100.0,Holyrood,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19","[9, 10, 11, 12, 13, 15, 16, 17, 18, 19]",0551_00_G1,Patersons Land,Tuesday 12:00,50,0001_00_G.159,G.159,Central,Old College,108,Classroom Style,True,92.59,False
E:BT1DEWFUMG,Global Challenges for Business - Tutorial/28,18.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0003_00_G.01,7-8 Chambers Street,Wednesday 11:00,50,0254_01_1.5A,1.5A,Central,24 Buccleuch Place,8,Boardroom Style,False,225.0,True
E:APM2M8UCB2,Business Research Methods I: Introduction to Data Analysis - Lecture,200.0,Central,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19","[9, 10, 11, 12, 13, 15, 16, 17, 18, 19]",0227_00_G.03,50 George Square,Tuesday 13:00,50,0228_06_6.11,6.11,Central,40 George Square,24,Classroom Style,False,833.33,True
E:4731HA5XUZ,Introduction to Corporate Finance - Tutorial/08,12.0,Central,4,"11, 13, 16, 18","[11, 13, 16, 18]",0227_00_G.05,50 George Square,Thursday 13:00,110,0201_00_G.07,G.07,Central,Appleton Tower,194,Lecture Theatre,False,6.19,False
E:5TAKAOI36Q,Introduction to Corporate Finance - Tutorial/13,12.0,Central,4,"12, 15, 17, 19","[12, 15, 17, 19]",0003_01_1.05,7-8 Chambers Street,Wednesday 13:00,110,0227_00_G.06,G.06,Central,50 George Square,64,Classroom Style,False,18.75,False
E:SZR6U5ZDL7,Taxation Practices - Tutorial/04,16.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0201_00_G.05,Appleton Tower,Wednesday 12:00,50,0113_00_G.07,G.07,Central,"Medical School, Teviot",170,Lecture Theatre,False,9.41,False
E:T7NW9NU2R7,Accounting for Business 1 - Tutorial/14,16.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0008_02_2.365,Minto House,Wednesday 16:00,50,0424_05_5.21,5.21,Lauriston,Evolution House,40,Classroom Style,True,40.0,False
E:EBCT2AABHB,Prescriptive Analytics with Mathematical Programming - Computer Workshop,50.0,Central,2,"12, 15","[12, 15]",0226_-1_LG.18,Business School,Friday 09:00,110,0551_00_G43,G43,Holyrood,Patersons Land,59,Classroom Style,True,84.75,False
E:8HLZEZ5B49,Accountancy 2A - Tutorial/06,13.0,Central,9,"10, 11, 12, 13, 15, 16, 17, 18, 19","[10, 11, 12, 13, 15, 16, 17, 18, 19]",0335_02_2.2,Lister Learning and Teaching Centre,Tuesday 16:00,50,0001_01_1.264,1.264,Central,Old College,150,Lecture Theatre,False,8.67,False
E:6B12X6EAZE,Accountancy 1A - Tutorial/11,17.0,Central,9,"10, 11, 12, 13, 15, 16, 17, 18, 19","[10, 11, 12, 13, 15, 16, 17, 18, 19]",0335_01_1.2,Lister Learning and Teaching Centre,Monday 16:00,50,0214_00_G.02,G.02,Central,16-20 George Square,40,Classroom Style,False,42.5,False
E:G18PKMB4H3,Global Challenges for Business - Tutorial/20,18.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0003_01_1.04,7-8 Chambers Street,Thursday 09:00,50,0450_03_3.43,3.43,Central,Edinburgh Futures Institute (EFI),12,Specialist Room,False,150.0,True
E:AARCNYGD1Y,Sustainability in Context - Seminar,65.0,Central,5,"9, 10, 11, 12, 13","[9, 10, 11, 12, 13]",0226_-1_LG.14,Business School,Friday 11:00,50,0228_11_11.18,11.18,Central,40 George Square,24,Classroom Style,False,270.83,True
E:HM8FLCOMT6,Business Economics - Tutorial/12,16.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0252_01_1.2,22 Buccleuch Place,Tuesday 16:00,50,0113_01M_01M.474,01M.474,Central,"Medical School, Teviot",10,Classroom Style,False,160.0,True
E:D5IOE3EVAV,Principles of Data Analytics - Lecture,125.0,Central,5,"9, 10, 11, 12, 13","[9, 10, 11, 12, 13]",0226_00_GF.14,Business School,Thursday 13:00,110,0113_00_G.15,G.15,Central,"Medical School, Teviot",29,Classroom Style,False,431.03,True
E:JELOTYI94V,Psychological Well-being and Business - Tutorial/10,24.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0251_01_1.02,21 Buccleuch Place,Friday 09:00,110,0227_02_2.13,2.13,Central,50 George Square,10,Boardroom Style,False,240.0,True
E:4BSAVP83Q8,Behavioural Finance and Market Efficiency - Tutorial/03,33.0,Central,6,"11, 12, 13, 16, 17, 18","[11, 12, 13, 16, 17, 18]",0226_01_1.07,Business School,Tuesday 14:00,50,0113_00_G.205,G.205,Central,"Medical School, Teviot",14,Boardroom Style,False,235.71,True
E:VMVOTLEOD7,Accountancy 2A - Tutorial/02,13.0,Central,9,"10, 11, 12, 13, 15, 16, 17, 18, 19","[10, 11, 12, 13, 15, 16, 17, 18, 19]",0201_00_G.05,Appleton Tower,Monday 15:00,50,0110_02_2.02,2.02,Central,Alison House,15,Boardroom Style,False,86.67,False
E:2UGT1BG3HK,Corporate Responsibility - Seminar/02,50.0,Central,3,"10, 11, 12","[10, 11, 12]",0226_-1_LG.19,Business School,Tuesday 12:00,50,0254_01_1.01,1.01,Central,24 Buccleuch Place,8,Boardroom Style,False,625.0,True
E:1TJIRZBZWJ,Global Challenges for Business - Tutorial/12,18.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0103_03_3.D02,Forresthill,Friday 10:00,50,0551_01_1.27,1.27,Holyrood,Patersons Land,25,Boardroom Style,True,72.0,False
E:6E5SSQRMOQ,Accounting for Business 1 - Tutorial/17,16.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0335_03_3.1,Lister Learning and Teaching Centre,Wednesday 10:00,50,0228_04_4.18,4.18,Central,40 George Square,25,Classroom Style,False,64.0,False
E:7QSKBQMW1L,Planning for a start-up - Tutorial/06,25.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0300_00_NG.02,High School Yards Teaching Centre,Friday 09:00,110,0131_04_4.07,4.07,Central,13-15 South College Street,110,Lecture Theatre,False,22.73,False
E:W831HKZUOC,Principles of Finance - Tutorial/12,16.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0201_00_G.05,Appleton Tower,Thursday 15:00,50,0558_04_4.20,4.20,Holyrood,Charteris Land,38,Classroom Style,True,42.11,False
E:FKNT5BCN6S,Psychological Well-being and Business - Tutorial/11,24.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0219_00_G.02,21 George Square,Friday 11:00,110,0228_-1_LG.08,LG.08,Central,40 George Square Lower Teaching Hub,36,Classroom Style,False,66.67,False
E:UO5JDWPJPF,Decision Analytics - Tutorial/04,15.0,Central,4,"10, 12, 16, 18","[10, 12, 16, 18]",0228_01_1.01,40 George Square,Friday 09:00,50,0228_06_6.10,6.10,Central,40 George Square,13,Boardroom Style,False,115.38,True
E:JANPI6NTLI,Business Research Methods I: Introduction to Data Analysis - Tutorial/11,19.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0201_00_G.05,Appleton Tower,Friday 10:00,50,0227_03_3.30,3.30,Central,50 George Square,10,Boardroom Style,False,190.0,True
E:N826VTZKXB,Business Research Methods I: Introduction to Data Analysis - Tutorial/03,19.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0003_01_1.04,7-8 Chambers Street,Tuesday 17:00,50,0283_01_1.17,1.17,Central,Dugald Stewart Building,26,Classroom Style,False,73.08,False
E:JOUB7555HW,Advanced Financial Accounting - Tutorial/04,25.0,Central,4,"11, 12, 15, 18","[11, 12, 15, 18]",0226_-1_LG.14,Business School,Friday 10:00,50,0551_00_G30,G30,Holyrood,Patersons Land,10,Classroom Style,True,250.0,True
E:ZRCSXQXWDM,Financial Markets and Investment - Lecture,80.0,Central,8,"10, 11, 12, 13, 15, 16, 17, 18","[10, 11, 12, 13, 15, 16, 17, 18]",0226_00_GF.14,Business School,Tuesday 14:00,110,0227_02_2.03,2.03,Central,50 George Square,18,Boardroom Style,False,444.44,True
E:RAD7HST47V,Strategic Management - Tutorial/04,30.0,Central,6,"12, 13, 15, 16, 17, 18","[12, 13, 15, 16, 17, 18]",0226_01_1.07,Business School,Tuesday 17:00,50,0591_-1_B1.04,B1.04,Holyrood,Outreach Centre,14,Boardroom Style,True,214.29,True
E:IP4FLLNKA5,Applied Energy Finance - Seminar/01,32.0,Central,5,"15, 16, 17, 18, 19","[15, 16, 17, 18, 19]",0226_-1_LG.10,Business School,Friday 12:00,80,0113_00_G.14,G.14,Central,"Medical School, Teviot",26,Boardroom Style,False,123.08,True
E:RV6J6RK16I,Global Challenges for Business - Tutorial/04,18.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0003_01_1.03,7-8 Chambers Street,Wednesday 10:00,50,0228_13_13.07,13.07,Central,40 George Square,15,Boardroom Style,False,120.0,True
E:HT9QV2UIE3,Fundamentals of Infrastructure Finance - Seminar/01,32.0,Central,5,"9, 10, 11, 12, 13","[9, 10, 11, 12, 13]",0226_-1_LG.11,Business School,Friday 09:00,90,0003_00_G.01,G.01,Central,7-8 Chambers Street,20,Classroom Style,False,160.0,True
E:5KIH6HSQ4S,Corporate Responsibility - Seminar/03,50.0,Central,3,"10, 11, 12","[10, 11, 12]",0226_-1_LG.19,Business School,Tuesday 13:00,50,0001_02_2.351,2.351,Central,Old College,16,Boardroom Style,False,312.5,True
E:9FJEIZPENZ,Responsible Management of Digital Innovation - Lecture,65.0,Central,5,"15, 16, 17, 18, 19","[15, 16, 17, 18, 19]",0226_-1_LG.14,Business School,Monday 14:00,50,0283_01_1.01,1.01,Central,Dugald Stewart Building,12,Boardroom Style,False,541.67,True
E:MGVBOQGWFP,Responsible Management of Digital Innovation - Seminar/01,33.0,Central,4,"15, 16, 17, 18","[15, 16, 17, 18]",0226_-1_LG.19,Business School,Tuesday 10:00,90,0113_02_2.27,2.27,Central,"Medical School, Teviot",12,Boardroom Style,False,275.0,True
E:6KRU79RDA1,Accounting for Business 1 - Tutorial/18,16.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0252_01_1.2,22 Buccleuch Place,Thursday 10:00,50,0254_01_1.12,1.12,Central,24 Buccleuch Place,10,Classroom Style,False,160.0,True
E:PBN4HWXNCM,Business Economics - Tutorial/03,16.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0252_01_1.2,22 Buccleuch Place,Monday 14:00,50,0113_01M_01M.469,01M.469,Central,"Medical School, Teviot",40,Classroom Style,False,40.0,False
E:213A2XHFEF,Organisational Behaviour 2 - Tutorial/06,15.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0008_-1_B.154,Minto House,Tuesday 14:00,50,0551_00_G43,G43,Holyrood,Patersons Land,59,Classroom Style,True,25.42,False
E:9XRFIEIQBN,Decision Analytics - Lecture,60.0,Central,8,"9, 10, 11, 12, 15, 16, 17, 18","[9, 10, 11, 12, 15, 16, 17, 18]",0226_-1_LG.19,Business School,Tuesday 16:00,50,0450_03_3.43,3.43,Central,Edinburgh Futures Institute (EFI),12,Specialist Room,False,500.0,True
E:FNUTTSUPRL,Business Economics - Tutorial/06,16.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0252_01_1.2,22 Buccleuch Place,Monday 17:00,50,0227_02_2.13,2.13,Central,50 George Square,10,Boardroom Style,False,160.0,True
E:PP6RHAZ1F6,Strategic Management - Tutorial/01,30.0,Central,6,"12, 13, 15, 16, 17, 18","[12, 13, 15, 16, 17, 18]",0226_01_1.07,Business School,Tuesday 13:00,50,0422_J_J.05,J.05,Central,"Medical School, Teviot",60,Classroom Style,False,50.0,False
E:1D226HFXRT,Research Methods in Finance 1 - Seminar,100.0,Central,9,"10, 11, 12, 13, 15, 16, 17, 18, 19","[10, 11, 12, 13, 15, 16, 17, 18, 19]",0131_04_4.07,13-15 South College Street,Friday 11:00,110,0591_-1_B1.07,B1.07,Holyrood,Outreach Centre,16,Boardroom Style,True,625.0,True
E:IXCH8D99CR,Global Challenges for Business - Tutorial/19,18.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0214_01_1.01,16-20 George Square,Thursday 16:00,50,0001_01_1.264,1.264,Central,Old College,150,Lecture Theatre,False,12.0,False
E:KI2OSYRZUC,Global Challenges for Business - Tutorial/21,18.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0003_01_1.04,7-8 Chambers Street,Tuesday 11:00,50,0553_04_422,422,Holyrood,St Johns Land,25,Boardroom Style,True,72.0,False
E:G5JFJK1ONZ,Digital Innovation Management - Seminar,25.0,Central,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19","[9, 10, 11, 12, 13, 15, 16, 17, 18, 19]",0226_01_1.07,Business School,Thursday 13:00,110,0227_00_G.04,G.04,Central,50 George Square,100,Lecture Theatre,False,25.0,False
E:64PXKYR1LE,Decision Analytics - Tutorial/05,15.0,Central,4,"10, 12, 16, 18","[10, 12, 16, 18]",0227_02_2.14,50 George Square,Friday 10:00,50,0555_01_1.15,1.15,Holyrood,Thomsons Land,31,Classroom Style,True,48.39,False
E:XBW5KCSQVX,Carbon Accounting - Lecture,126.0,Central,5,"9, 10, 11, 12, 13","[9, 10, 11, 12, 13]",0226_00_GF.14,Business School,Monday 11:00,90,0335_04_4.1,4.1,Central,Lister Learning and Teaching Centre,30,Classroom Style,False,420.0,True
E:X2O9T9WPS9,Principles of Finance - Tutorial/09,16.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0201_00_G.05,Appleton Tower,Tuesday 12:00,50,0335_03_3.2,3.2,Central,Lister Learning and Teaching Centre,40,Classroom Style,False,40.0,False
E:YDKY2LP84Z,International Business: Globalisation and Trade 2A - Tutorial/04,15.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0335_01_1.4,Lister Learning and Teaching Centre,Wednesday 11:00,50,0335_05_5.2,5.2,Central,Lister Learning and Teaching Centre,32,Classroom Style,False,46.88,False
E:2NKM6SSIYV,Entrepreneurship and New Venture Creation in Context - Seminar,45.0,Central,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19","[9, 10, 11, 12, 13, 15, 16, 17, 18, 19]",0226_-1_LG.10,Business School,Wednesday 09:00,180,0113_00_G.14,G.14,Central,"Medical School, Teviot",26,Boardroom Style,False,173.08,True
E:O8HU1JZFVQ,Marketing - Tutorial/02,14.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0226_01_1.07,Business School,Monday 11:00,50,0005_-1_B.01,B.01,Central,Adam House,164,Lecture Theatre,False,8.54,False
E:1KKYP48S2S,Global Challenges for Business - Tutorial/22,18.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0003_00_G.03,7-8 Chambers Street,Thursday 15:00,50,0551_00_G34,G34,Holyrood,Patersons Land,18,Boardroom Style,True,100.0,False
E:TO2WS6X492,Accounting for Business 1 - Lecture,400.0,Central,9,"9, 10, 11, 12, 13, 15, 16, 17, 18","[9, 10, 11, 12, 13, 15, 16, 17, 18]",0225_02_2.201,Gordon Aikman Lecture Theatre,Monday 16:00,110,0450_03_3.42,3.42,Central,Edinburgh Futures Institute (EFI),8,Specialist Room,False,5000.0,True
E:M6URK9ZUVK,Introduction to Business Analytics - Lecture,65.0,Central,4,"15, 16, 17, 18","[15, 16, 17, 18]",0226_-1_LG.10,Business School,Tuesday 14:00,110,0228_-1_LG.10,LG.10,Central,40 George Square Lower Teaching Hub,36,Classroom Style,False,180.56,True
E:IJ7PCKV594,Psychological Well-being and Business - Tutorial/02,18.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0201_02_2.06,Appleton Tower,Monday 13:00,110,0214_00_G.02,G.02,Central,16-20 George Square,40,Classroom Style,False,45.0,False
E:JH8VVS5D8B,Business Research Methods I: Introduction to Data Analysis - Lecture,200.0,Central,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19","[9, 10, 11, 12, 13, 15, 16, 17, 18, 19]",0113_00_G.152,"Medical School, Teviot",Wednesday 12:00,50,0591_-1_B1.07,B1.07,Holyrood,Outreach Centre,16,Boardroom Style,True,1250.0,True
E:L2Q83DS4P1,Strategising for Sustainability - Lecture,100.0,Central,3,"15, 16, 17","[15, 16, 17]",0131_04_4.07,13-15 South College Street,Thursday 15:00,110,0551_-1M_M16,M16,Holyrood,Patersons Land,14,Boardroom Style,True,714.29,True
E:R276JISFO8,Economic Analysis for Business - Lecture,65.0,Central,4,"9, 10, 11, 12","[9, 10, 11, 12]",0226_-1_LG.18,Business School,Wednesday 11:00,110,0228_12_12.18,12.18,Central,40 George Square,13,Boardroom Style,False,500.0,True
E:SH4XSIVYTS,Accountancy 2A - Tutorial/01,13.0,Central,9,"10, 11, 12, 13, 15, 16, 17, 18, 19","[10, 11, 12, 13, 15, 16, 17, 18, 19]",0201_00_G.05,Appleton Tower,Monday 14:00,50,0401_02_2.17,2.17,New College,New College,18,Boardroom Style,True,72.22,False
E:YIN64PAS9H,ELE - English for International Business Communication (EIBC) Group 1,14.0,Holyrood,5,"10, 11, 12, 13, 14","[10, 11, 12, 13, 14]",0551_00_G36B,Patersons Land,Monday 11:00,110,0228_03_3.01,3.01,Central,40 George Square,24,Classroom Style,True,58.33,False
E:4HRHARLXV6,Essentials of Econometrics - Optional Helpdesk/05,20.0,Central,9,"10, 11, 12, 13, 14, 15, 16, 17, 18","[10, 11, 12, 13, 14, 15, 16, 17, 18]",0003_00_G.02,7-8 Chambers Street,Friday 11:00,50,0551_-1M_M18,M18,Holyrood,Patersons Land,6,Boardroom Style,True,333.33,True
E:6USFTUFRCY,Eco-Innovation for a Circular Economy - Seminar/04,23.0,Central,7,"11, 12, 13, 15, 16, 17, 18","[11, 12, 13, 15, 16, 17, 18]",0228_-1_LG.08,40 George Square Lower Teaching Hub,Wednesday 09:00,110,0551_-1_LG47,LG47,Holyrood,Patersons Land,16,Boardroom Style,True,143.75,True
E:93CECVO3RL,The Entrepreneurial Manager - Lecture,60.0,Central,5,"11, 12, 13, 15, 16","[11, 12, 13, 15, 16]",0226_-1_LG.19,Business School,Tuesday 09:00,50,0227_00_G.06,G.06,Central,50 George Square,64,Classroom Style,False,93.75,False
E:12DKCORHBQ,Principles of Finance - Tutorial/03,10.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0227_02_2.30,50 George Square,Monday 15:00,50,0335_01_1.1,1.1,Central,Lister Learning and Teaching Centre,25,Classroom Style,False,40.0,False
E:59YZAKTMG8,Financial Statement Analysis - Lecture,135.0,Central,5,"15, 16, 17, 18, 19","[15, 16, 17, 18, 19]",0226_00_GF.14,Business School,Monday 09:00,110,0214_00_G.23,G.23,Central,16-20 George Square,10,Boardroom Style,False,1350.0,True
E:SQ7A12HO8G,Financial Services Marketing - Seminar,65.0,Central,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19","[9, 10, 11, 12, 13, 15, 16, 17, 18, 19]",0226_-1_LG.11,Business School,Wednesday 11:00,50,0311_04_4.08,4.08,Central,Geography (Old Infirmary),14,Boardroom Style,False,464.29,True
E:UP7EXA3PB7,Accountancy 1A - Tutorial/05,17.0,Central,9,"10, 11, 12, 13, 15, 16, 17, 18, 19","[10, 11, 12, 13, 15, 16, 17, 18, 19]",0335_00_G.12,Lister Learning and Teaching Centre,Wednesday 12:00,50,0558_05_5.4,5.4,Holyrood,Charteris Land,25,Classroom Style,True,68.0,False
E:KTOQ1D5X4F,Introduction to Risk Management in Banks - Lecture,35.0,Central,5,"15, 16, 17, 18, 19","[15, 16, 17, 18, 19]",0226_-1_LG.14,Business School,Thursday 14:00,110,0335_05_5.2,5.2,Central,Lister Learning and Teaching Centre,32,Classroom Style,False,109.38,True
E:GDEKHKTKFH,Marketing - Lecture,200.0,Central,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19","[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0229_01_1.C,40 George Square Lecture Theatres,Thursday 13:00,50,0555_02_2.1,2.1,Holyrood,Thomsons Land,25,Boardroom Style,True,800.0,True
E:16CPPSZFQO,International Business: Globalisation and Trade 2A - Tutorial/11,15.0,Central,7,"11, 12, 13, 15, 16, 17, 18","[11, 12, 13, 15, 16, 17, 18]",0252_01_1.2,22 Buccleuch Place,Thursday 14:00,50,0551_-1_LG47,LG47,Holyrood,Patersons Land,16,Boardroom Style,True,93.75,False
E:F38CP565E1,Accountancy 1A - Tutorial/01,12.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0228_09_9.18,40 George Square,Tuesday 10:00,50,0113_00_G.03,G.03,Central,"Medical School, Teviot",50,Classroom Style,False,24.0,False
E:LJED7A2J8L,Accountancy 1A - Lecture,170.0,Central,7,"10, 11, 12, 13, 15, 18, 19","[10, 11, 12, 13, 15, 18, 19]",0229_01_1.B,40 George Square Lecture Theatres,Tuesday 09:00,50,0113_02_2.26,2.26,Central,"Medical School, Teviot",12,Classroom Style,False,1416.67,True
E:ED811EUFV1,Reward Management - Q&A Session/IHRM,40.0,Central,2,"13, 16","[13, 16]",0228_-1_LG.09,40 George Square Lower Teaching Hub,Tuesday 15:00,110,0201_01_1.01,1.01,Central,Appleton Tower,20,Boardroom Style,False,200.0,True
E:BBA7J3OPTB,Accountancy 1A - Tutorial/06,17.0,Central,9,"10, 11, 12, 13, 15, 16, 17, 18, 19","[10, 11, 12, 13, 15, 16, 17, 18, 19]",0335_00_G.12,Lister Learning and Teaching Centre,Thursday 10:00,50,0227_02_2.30,2.30,Central,50 George Square,10,Boardroom Style,False,170.0,True
E:NZ2N6YWFZC,Global Challenges for Business - Tutorial/26,18.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0003_00_G.03,7-8 Chambers Street,Tuesday 12:00,50,0553_04_422,422,Holyrood,St Johns Land,25,Boardroom Style,True,72.0,False
E:DWYYAPR6QU,Business Economics - Tutorial/10,16.0,Central,8,"11, 12, 13, 15, 16, 17, 18, 19","[11, 12, 13, 15, 16, 17, 18, 19]",0252_01_1.2,22 Buccleuch Place,Tuesday 12:00,50,0214_01_1.10,1.10,Central,16-20 George Square,18,Classroom Style,False,88.89,False
